EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,ev_tdlam_before,loss_ent,loss_kl,loss_pol_entpen,loss_pol_surr,loss_vf_loss
1000.0,-41.892316379403454,2,131,378.0363059043884,131000,0.1460247039794922,5.2999988,0.0069920183,0.0,-0.008749142,0.045524877
1000.0,-41.84893238343824,2,133,383.91931653022766,133000,0.6766819655895233,5.2663426,0.01053287,0.0,-0.014236631,0.021413384
1000.0,-42.147910529911144,2,135,389.76959896087646,135000,0.8555288165807724,5.2488403,0.0073603923,0.0,-0.010939805,0.040612184
1000.0,-42.606453748801115,2,137,395.67777705192566,137000,0.8876761794090271,5.2768297,0.009139901,0.0,-0.013038303,0.07167391
1000.0,-42.21660764776947,2,139,401.30371046066284,139000,0.40979278087615967,5.2567487,0.008059884,0.0,-0.015153352,0.034848135
1000.0,-42.460646282476276,2,141,406.8333570957184,141000,-0.5170189142227173,5.2591414,0.007542519,0.0,-0.015496943,0.049566504
1000.0,-42.12040483823425,2,143,412.4991526603699,143000,0.7016699910163879,5.3219495,0.0075842272,0.0,-0.013999822,0.046552118
1000.0,-42.08334488149703,2,145,418.1166031360626,145000,0.9326674118638039,5.3539786,0.0074458234,0.0,-0.010555961,0.12295239
1000.0,-42.335713914706496,2,147,423.67269372940063,147000,0.46075570583343506,5.364836,0.012100065,0.0,-0.014746618,0.051982388
1000.0,-42.06006992687923,2,149,429.291757106781,149000,0.034999847412109375,5.3646865,0.012325027,0.0,-0.008159119,0.056606334
1000.0,-41.98838576101718,2,151,434.8462779521942,151000,0.43479496240615845,5.3389573,0.0080042,0.0,-0.012425279,0.05804296
1000.0,-42.25642606223608,2,153,440.3772201538086,153000,0.7932504564523697,5.343841,0.01038502,0.0,-0.015620612,0.052334763
1000.0,-41.576009924181605,2,155,446.02382254600525,155000,0.26152873039245605,5.360946,0.011135532,0.0,-0.010102904,0.059183326
1000.0,-42.06725296570508,2,157,451.53775119781494,157000,0.6751070022583008,5.340881,0.008122969,0.0,-0.009815662,0.09897865
1000.0,-42.68228136684061,2,159,457.06187200546265,159000,0.45257699489593506,5.316483,0.010832302,0.0,-0.012630552,0.053744733
1000.0,-43.12956152349813,2,161,462.6539623737335,161000,0.88773612678051,5.296037,0.008963389,0.0,-0.014423817,0.07741783
1000.0,-43.130100296026946,2,163,468.2271771430969,163000,0.34650325775146484,5.296581,0.009884231,0.0,-0.016743064,0.09801779
1000.0,-42.82971131187417,2,165,473.82655024528503,165000,0.7572296559810638,5.2807865,0.009437163,0.0,-0.012963649,0.04821048
1000.0,-42.564001112702506,2,167,479.3663122653961,167000,0.7682438492774963,5.2656703,0.018103622,0.0,-0.01584502,0.05876402
1000.0,-42.627297788431385,2,169,484.9407527446747,169000,0.594334602355957,5.23028,0.010510626,0.0,-0.015188569,0.044357903
1000.0,-43.29290185111051,3,172,490.7150340080261,172000,0.8831270039081573,5.198984,0.010110977,0.0,-0.01254393,0.08071464
1000.0,-42.99529110921592,2,174,496.31497025489807,174000,0.7476177215576172,5.1851087,0.006897074,0.0,-0.010198556,0.046206363
1000.0,-42.64859441674012,2,176,501.9120626449585,176000,0.7666691839694977,5.1635146,0.007812805,0.0,-0.01318193,0.043296143
1000.0,-42.21068866808589,2,178,507.44777512550354,178000,0.33850806951522827,5.131929,0.009061127,0.0,-0.017260648,0.034300443
1000.0,-41.6767446758957,2,180,513.0157942771912,180000,0.13575845956802368,5.1495156,0.005220133,0.0,-0.009567335,0.044676285
1000.0,-41.82175402550905,2,182,518.5146815776825,182000,0.8471321165561676,5.1196303,0.012012221,0.0,-0.010716603,0.09256422
1000.0,-42.221799568995955,2,184,524.0934092998505,184000,0.879833310842514,5.0856876,0.006224191,0.0,-0.008213573,0.13896511
1000.0,-41.994167321899916,2,186,529.6781206130981,186000,0.02283114194869995,5.0958614,0.005901257,0.0,-0.0119608585,0.042088903
